laptop_specs_id,laptop_specs_source,laptop_specs_brand,laptop_specs_name,laptop_specs_cpu,laptop_specs_vga,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_resolution,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_name,cpu_specs_performance_clockspeed,cpu_specs_performance_turbospeed,cpu_specs_performance_cores,cpu_specs_performance_threads,cpu_specs_efficient_clockspeed,cpu_specs_efficient_turbospeed,cpu_specs_efficient_cores,cpu_specs_efficient_threads,cpu_specs_tdp,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_l1_instruction_cache,cpu_specs_l1_data_cache,cpu_specs_l2_cache,cpu_specs_l3_cache,cpu_specs_eff_l1_instruction_cache,cpu_specs_eff_l1_data_cache,cpu_specs_eff_l2_cache,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_name,gpu_specs_avg_g3d_mark,gpu_specs_bus_interface,gpu_specs_max_memory_size,gpu_specs_core_clock,gpu_specs_max_direct,gpu_specs_open_gl,gpu_specs_max_tdp,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute
343,gearvn,lenovo,laptop gaming lenovo loq 15iax9 83gs001rvn,intel core i5 12450hx,geforce rtx 3050,12.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,300.0,60.0,3.0,2.38,windows 11 home,24.0,19990000,35.99,25.87,2.39,3.0,1.0,1.0,1.0,1.0,intel core i5 12450hx,,4.40,4,8,,3.10,4.0,4.0,148.00,18688,3397,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,57744,43500,58,23296,12278,222492,1189,13983,3397,geforce rtx 3050,9454.0,pcie 4.0 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
344,gearvn,lenovo,laptop lenovo yoga 9 2in1 14imh9 83ac000svn,intel core ultra 7 155h,,16.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,120.0,400.0,75.0,,1.32,windows 11 home,24.0,43790000,31.6,22.0,1.59,1.0,3.0,0.0,0.0,1.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,,,,,,,,,,,,,
345,gearvn,asus,laptop gaming asus tuf gaming a15 fa506nc hn011w,amd ryzen 5 7535hs,geforce rtx 3050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,250.0,48.0,3.0,2.3,windows 11 home,24.0,16990000,35.9,25.6,1.41,2.0,2.0,1.0,1.0,0.0,amd ryzen 5 7535hs,3.30,4.60,6,12,,,,,35.00,18379,3171,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,63884,36335,50,23108,14102,228551,870,15935,3171,geforce rtx 3050,9454.0,pcie 4.0 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
346,gearvn,lenovo,laptop lenovo yoga book 9 13imu9 83ff001svn,intel core ultra 7 155u,,32.0,ddr5,1024.0,ssd,yes,13.3,2880x1800,60.0,400.0,80.0,,1.34,windows 11 home,24.0,61990000,29.91,20.39,1.59,0.0,3.0,0.0,0.0,0.0,intel core ultra 7 155u,1.70,4.80,2,4,1.20,3.80,10.0,10.0,15.00,16772,3461,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,59422,41983,64,19805,11761,182285,1106,10286,3461,,,,,,,,,,,,,
347,gearvn,hp,laptop gaming hp omen 16 wf0129tx 8w943pa,intel core i9 13900hx,geforce rtx 4070,32.0,ddr5,1024.0,ssd,yes,16.1,2560x1440,240.0,300.0,83.0,6.0,2.35,windows 11 home,24.0,64990000,36.9,25.94,2.35,2.0,2.0,1.0,1.0,1.0,intel core i9 13900hx,2.20,5.40,8,16,1.60,3.90,16.0,16.0,55.00,44060,4124,8 x 32 kb,8 x 48 kb,8 x 2048 kb,36 mb,16 x 64 kb,16 x 32 kb,4 x 4096 kb,159801,112829,195,60582,33026,544215,2714,31255,4124,geforce rtx 4070,19587.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
348,gearvn,lenovo,laptop gaming lenovo loq 15iax9 83gs000rvn,intel core i5 12450hx,geforce rtx 4050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,300.0,60.0,4.0,2.38,windows 11 home,24.0,25790000,35.99,25.87,2.39,3.0,1.0,1.0,1.0,1.0,intel core i5 12450hx,,4.40,4,8,,3.10,4.0,4.0,148.00,18688,3397,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,57744,43500,58,23296,12278,222492,1189,13983,3397,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
349,gearvn,asus,laptop gaming asus tuf gaming f15 fx507vu lp198w,intel core i7 13620h,geforce rtx 4050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,250.0,90.0,4.0,2.2,windows 11 home,24.0,25490000,35.4,25.1,2.49,2.0,2.0,1.0,0.0,1.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
350,gearvn,lenovo,laptop lenovo ideapad slim 5 14irl8 82xd007qvn,intel core i7 13620h,,16.0,ddr5,1024.0,ssd,yes,14.0,1920x1200,,400.0,56.6,,1.46,windows 11 home,24.0,21990000,31.31,22.49,1.74,2.0,2.0,1.0,0.0,1.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,,,,,,,,,,,,,
351,gearvn,lenovo,laptop gaming lenovo legion pro 5 16irx9 83df0046vn,intel core i9 14900hx,geforce rtx 4070,32.0,ddr5,1024.0,ssd,yes,16.0,2560x1600,240.0,500.0,80.0,3.0,2.5,windows 11 home,24.0,51990000,36.34,26.18,2.69,4.0,2.0,1.0,1.0,1.0,intel core i9 14900hx,2.20,5.80,8,16,1.60,4.10,16.0,16.0,55.00,45553,4311,8 x 32 kb,8 x 48 kb,8 x 2048 kb,36 mb,16 x 64 kb,16 x 32 kb,4 x 4096 kb,163569,116424,201,62491,33995,562098,2761,32524,4311,geforce rtx 4070,19587.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
352,gearvn,lenovo,laptop lenovo yoga slim 7 14imh9 83cv001uvn,intel core ultra 7 155h,,32.0,ddr5,512.0,ssd,yes,14.0,1920x1200,60.0,400.0,71.0,4.0,1.39,windows 11 home,24.0,28990000,31.2,22.1,1.49,1.0,2.0,1.0,0.0,1.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,,,,,,,,,,,,,
353,gearvn,lenovo,laptop gaming lenovo loq 15iax9 83gs001svn,intel core i5 12450hx,geforce rtx 2050,12.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,300.0,60.0,3.0,2.38,windows 11 home,24.0,16990000,35.99,25.87,2.39,3.0,1.0,1.0,1.0,1.0,intel core i5 12450hx,,4.40,4,8,,3.10,4.0,4.0,148.00,18688,3397,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,57744,43500,58,23296,12278,222492,1189,13983,3397,geforce rtx 2050,7690.0,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,42.0,3482.0
354,gearvn,lenovo,laptop lenovo ideapad slim 5 16imh9 83dc001svn,intel core ultra 7 155h,,32.0,ddr5,512.0,ssd,yes,16.0,2048x1280,120.0,400.0,57.0,,1.89,windows 11 home,24.0,25990000,35.6,25.1,1.69,2.0,2.0,1.0,0.0,1.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,,,,,,,,,,,,,
355,gearvn,lenovo,laptop lenovo ideapad slim 5 14imh9 83da001yvn,intel core ultra 7 155h,,32.0,ddr5,512.0,ssd,yes,14.0,1920x1200,60.0,400.0,57.0,,1.46,windows 11 home,24.0,25990000,31.2,22.1,1.69,2.0,2.0,1.0,0.0,1.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,,,,,,,,,,,,,
356,gearvn,lenovo,laptop lenovo ideapad slim 5 14imh9 83da001nvn,intel core ultra 5 125h,,16.0,ddr5,512.0,ssd,yes,14.0,1920x1200,60.0,400.0,57.0,,1.46,windows 11 home,24.0,21490000,31.2,22.1,1.69,2.0,2.0,1.0,0.0,1.0,intel core ultra 5 125h,3.30,4.50,4,8,2.30,3.60,10.0,10.0,28.00,22144,3497,4 x 64 kb,4 x 48 kb,7 x 2048 kb,18 mb,10 x 64 kb,10 x 32 kb,,72368,53686,89,28705,15130,250927,1528,14518,3497,,,,,,,,,,,,,
357,gearvn,msi,laptop gaming msi thin a15 b7ve 023vn,amd ryzen 5 7535hs,geforce rtx 4050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,52.4,3.0,1.86,windows 11 home,24.0,20990000,35.9,25.4,2.17,3.0,1.0,1.0,0.0,0.0,amd ryzen 5 7535hs,3.30,4.60,6,12,,,,,35.00,18379,3171,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,63884,36335,50,23108,14102,228551,870,15935,3171,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
358,gearvn,msi,laptop gaming msi cyborg 15 ai a1ve 053vn,intel core ultra 7 155h,geforce rtx 4050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,53.5,3.0,1.98,windows 11 home,24.0,28490000,35.94,25.03,2.29,2.0,1.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
359,gearvn,msi,laptop gaming msi katana a15 ai b8ve 402vn,amd ryzen 7 8845hs,geforce rtx 4050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,53.5,3.0,2.2,windows 11 home,24.0,25990000,35.9,25.9,2.49,3.0,1.0,1.0,0.0,0.0,amd ryzen 7 8845hs,3.80,5.10,8,16,,,,,45.00,28830,3783,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,99895,60638,87,40908,20747,350998,1342,26096,3783,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
360,gearvn,msi,laptop gaming msi sword 16 hx b14vfkg 045vn,intel core i7 14700hx,geforce rtx 4060,16.0,ddr5,1024.0,ssd,yes,16.0,2560x1600,240.0,,65.0,4.0,2.3,windows 11 home,,36990000,35.9,26.64,2.77,3.0,1.0,1.0,0.0,0.0,intel core i7 14700hx,2.10,5.50,8,16,1.50,3.90,12.0,12.0,55.00,37650,4007,8 x 32 kb,8 x 48 kb,8 x 2048 kb,33 mb,12 x 64 kb,12 x 32 kb,3 x 4096 kb,134061,95517,176,48986,26923,448984,2426,26376,4007,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
361,gearvn,acer,laptop gaming acer nitro v anv15 51 72vs,intel core i7 13620h,geforce rtx 2050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,57.0,4.0,2.1,windows 11 home,12.0,23990000,36.23,23.99,2.69,3.0,1.0,1.0,1.0,1.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,geforce rtx 2050,7690.0,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,42.0,3482.0
362,gearvn,acer,laptop gaming acer predator helios neo 16 phn16 71 74qr,intel core i7 13700hx,geforce rtx 4070,16.0,ddr5,512.0,ssd,yes,16.0,2560x1600,165.0,500.0,90.0,4.0,2.6,windows 11 home,12.0,41990000,36.01,27.99,2.83,3.0,2.0,1.0,1.0,1.0,intel core i7 13700hx,2.10,5.00,8,16,1.50,3.70,8.0,8.0,55.00,33527,3864,8 x 32 kb,8 x 48 kb,8 x 1280 kb,30 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,119999,88345,127,42505,23016,403769,1973,24882,3864,geforce rtx 4070,19587.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
363,gearvn,acer,laptop acer swift x14 sfx14 71g 78sy,intel core i7 13700h,geforce rtx 4050,32.0,ddr5,1024.0,ssd,yes,14.5,2880x1800,120.0,400.0,76.0,,1.5,windows 11 home,12.0,39990000,32.28,22.81,1.79,2.0,2.0,1.0,0.0,1.0,intel core i7 13700h,2.40,5.00,6,12,1.80,3.70,8.0,8.0,45.00,27032,3638,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,95142,68052,106,34226,18472,315864,1766,18765,3638,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
364,gearvn,acer,laptop gaming acer nitro v anv15 51 58an,intel core i5 13420h,geforce rtx 2050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,250.0,57.0,4.0,2.1,windows 11 home,12.0,18990000,36.23,23.99,2.69,3.0,1.0,1.0,1.0,1.0,intel core i5 13420h,2.10,4.60,4,8,1.50,3.40,4.0,4.0,45.00,18362,3444,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,60230,44538,55,22904,12239,223190,1069,13755,3444,geforce rtx 2050,7690.0,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,42.0,3482.0
365,gearvn,acer,laptop acer aspire 5 a515 58m 79r7,intel core i7 13620h,,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,60.0,,50.0,3.0,1.7,windows 11 home,12.0,18990000,36.29,23.75,1.79,2.0,1.0,1.0,0.0,1.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,,,,,,,,,,,,,
366,gearvn,acer,laptop gaming acer aspire 5 a515 58gm 53pz,intel core i5 13420h,geforce rtx 2050,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,60.0,,50.0,,1.7,windows 11 home,12.0,15490000,36.1,23.7,1.79,2.0,1.0,1.0,1.0,1.0,intel core i5 13420h,2.10,4.60,4,8,1.50,3.40,4.0,4.0,45.00,18362,3444,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,60230,44538,55,22904,12239,223190,1069,13755,3444,geforce rtx 2050,7690.0,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,42.0,3482.0
367,gearvn,acer,laptop acer aspire 5 a515 58p 71ej,intel core i7 1355u,,16.0,ddr5,1024.0,ssd,yes,15.6,1920x1080,60.0,,50.0,3.0,1.7,windows 11 home,12.0,17990000,36.29,23.75,1.8,1.0,0.0,0.0,0.0,0.0,intel core i7 1355u,1.70,5.00,2,4,1.20,3.70,8.0,8.0,15.00,14790,3498,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,54234,36223,56,18038,10140,159548,933,8863,3498,,,,,,,,,,,,,
368,gearvn,acer,laptop acer aspire 5 a514 56p 562p,intel core i5 1335u,,8.0,ddr5,512.0,ssd,yes,14.0,1920x1200,60.0,,50.0,3.0,1.5,windows 11 home,12.0,14990000,31.88,22.55,1.8,2.0,0.0,1.0,0.0,1.0,intel core i5 1335u,1.30,4.60,2,4,0.90,3.40,8.0,8.0,15.00,14695,3411,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,52899,36210,51,18286,10308,163845,858,9161,3411,,,,,,,,,,,,,
369,gearvn,acer,laptop acer aspire 3 a314 42p r3b3,amd ryzen 7 5700u,,16.0,ddr4,512.0,ssd,yes,14.0,1920x1200,60.0,,50.0,3.0,1.4,windows 11 home,12.0,12990000,31.82,22.55,1.78,2.0,1.0,1.0,0.0,1.0,amd ryzen 7 5700u,1.80,4.30,8,16,,,,,15.00,15837,2586,8 x 32 kb,8 x 32 kb,8 x 512 kb,8 mb,,,,61028,33678,29,23891,12787,221752,629,13665,2586,,,,,,,,,,,,,
370,gearvn,asus,laptop asus zenbook 14 oled ux3405ma pp151w,intel core ultra 5 125h,,16.0,ddr5,512.0,ssd,yes,14.0,2880x1800,120.0,400.0,75.0,4.0,1.2,windows 11 home,24.0,26490000,31.24,22.01,1.49,1.0,2.0,1.0,0.0,1.0,intel core ultra 5 125h,3.30,4.50,4,8,2.30,3.60,10.0,10.0,28.00,22144,3497,4 x 64 kb,4 x 48 kb,7 x 2048 kb,18 mb,10 x 64 kb,10 x 32 kb,,72368,53686,89,28705,15130,250927,1528,14518,3497,,,,,,,,,,,,,
371,gearvn,dell,laptop dell vostro 3530 v5i3465w1 gray,intel core i3 1305u,,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,120.0,250.0,41.0,3.0,1.66,windows 11 home,12.0,12990000,35.85,23.56,1.9,0.0,0.0,1.0,1.0,0.0,intel core i3 1305u,1.60,4.50,1,2,1.20,3.30,4.0,4.0,15.00,8802,3276,1 x 32 kb,1 x 48 kb,1 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,27950,20052,36,10623,6021,95060,518,5262,3276,,,,,,,,,,,,,
372,gearvn,lenovo,laptop lenovo ideapad 1 14alc7 82r30077vn,amd ryzen 7 5700u,,16.0,ddr4,512.0,ssd,yes,14.0,1920x1080,,250.0,42.0,,1.38,windows 11 home,24.0,13490000,32.53,21.65,1.79,1.0,1.0,1.0,0.0,1.0,amd ryzen 7 5700u,1.80,4.30,8,16,,,,,15.00,15837,2586,8 x 32 kb,8 x 32 kb,8 x 512 kb,8 mb,,,,61028,33678,29,23891,12787,221752,629,13665,2586,,,,,,,,,,,,,
373,gearvn,acer,laptop gaming acer predator helios 300 ph315 55 751d,intel core i7 12700h,geforce rtx 3070 ti,16.0,ddr5,512.0,ssd,yes,15.6,2560x1440,165.0,300.0,90.0,4.0,2.4,windows 11 home,12.0,30990000,35.94,27.64,2.56,3.0,0.0,1.0,0.0,1.0,intel core i7 12700h,2.30,4.70,6,12,1.70,3.50,8.0,8.0,45.00,26112,3580,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,91952,66352,95,34086,17955,306757,1534,18219,3580,geforce rtx 3070 ti,17946.0,pcie 4.0 x16,8192.0,915.0,12_2,4.6,115.0,194.0,127.0,156.0,75.0,7661.0
374,gearvn,acer,laptop gaming acer predator triton 500 se pt516 52s 75e3,intel core i7 12700h,geforce rtx 3070 ti,16.0,ddr5,1024.0,ssd,yes,16.0,2560x1600,240.0,500.0,99.98,4.0,2.4,windows 11 home,12.0,31990000,35.85,26.24,1.99,2.0,2.0,1.0,1.0,1.0,intel core i7 12700h,2.30,4.70,6,12,1.70,3.50,8.0,8.0,45.00,26112,3580,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,91952,66352,95,34086,17955,306757,1534,18219,3580,geforce rtx 3070 ti,17946.0,pcie 4.0 x16,8192.0,915.0,12_2,4.6,115.0,194.0,127.0,156.0,75.0,7661.0
375,gearvn,msi,laptop gaming msi katana 15 b13vgk 1211vn,intel core i7 13620h,geforce rtx 4070,16.0,ddr5,1024.0,ssd,yes,15.6,1920x1080,144.0,,53.5,3.0,2.25,windows 11 home,24.0,36990000,35.9,25.9,2.49,3.0,1.0,1.0,0.0,0.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,geforce rtx 4070,19587.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
376,gearvn,dell,laptop dell xps 13 plus 71013325,intel core i5 1340p,,16.0,ddr5,512.0,ssd,yes,13.4,3456x2160,60.0,400.0,55.0,3.0,1.26,windows 11 home,12.0,52990000,29.53,19.9,1.53,0.0,2.0,0.0,0.0,0.0,intel core i5 1340p,1.90,4.60,4,8,1.90,3.40,8.0,8.0,28.00,18801,3511,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,69786,48305,59,23738,12885,215792,1088,12419,3511,,,,,,,,,,,,,
377,gearvn,lg,laptop lg gram 2023 17z90r gah78a5,intel core i7 1360p,,16.0,ddr5,512.0,ssd,yes,17.0,2560x1600,60.0,350.0,80.0,,1.35,windows 11 home,12.0,41990000,37.88,25.88,1.78,2.0,2.0,1.0,0.0,1.0,intel core i7 1360p,2.20,5.00,4,8,1.60,3.70,8.0,8.0,28.00,18986,3505,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,69519,47136,79,22894,12772,207835,1291,11789,3505,,,,,,,,,,,,,
378,gearvn,lg,laptop lg gram style 16z90rs gah54a5,intel core i5 1340p,,16.0,ddr5,512.0,ssd,yes,16.0,3200x2000,120.0,500.0,80.0,,1.25,windows 11 home,12.0,39490000,35.51,24.13,1.59,1.0,2.0,0.0,0.0,0.0,intel core i5 1340p,1.90,4.60,4,8,1.90,3.40,8.0,8.0,28.00,18801,3511,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,69786,48305,59,23738,12885,215792,1088,12419,3511,,,,,,,,,,,,,
379,gearvn,lg,laptop lg gram 2023 16z90r gah76a5,intel core i7 1360p,,16.0,ddr5,512.0,ssd,yes,16.0,2560x1600,60.0,350.0,80.0,,1.199,windows 11 home,12.0,41990000,35.51,24.23,1.68,2.0,2.0,1.0,0.0,1.0,intel core i7 1360p,2.20,5.00,4,8,1.60,3.70,8.0,8.0,28.00,18986,3505,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,69519,47136,79,22894,12772,207835,1291,11789,3505,,,,,,,,,,,,,
380,gearvn,gigabyte,laptop gaming gigabyte aorus 17 bkf 73vn254sh,intel core i7 13700h,geforce rtx 4060,16.0,ddr5,1024.0,ssd,yes,17.3,1980x1080,144.0,,99.0,,2.8,windows 11 home,24.0,38990000,39.8,28.3,2.18,3.0,2.0,1.0,1.0,1.0,intel core i7 13700h,2.40,5.00,6,12,1.80,3.70,8.0,8.0,45.00,27032,3638,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,95142,68052,106,34226,18472,315864,1766,18765,3638,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
381,gearvn,lg,laptop lg gram 2in1 14t90r gah55a5,intel core i5 1340p,,16.0,ddr5,512.0,ssd,yes,14.0,1920x1200,,350.0,72.0,,1.25,windows 11 home,12.0,33990000,31.4,21.95,1.68,0.0,0.0,0.0,0.0,0.0,intel core i5 1340p,1.90,4.60,4,8,1.90,3.40,8.0,8.0,28.00,18801,3511,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,69786,48305,59,23738,12885,215792,1088,12419,3511,,,,,,,,,,,,,
382,gearvn,acer,laptop acer swift x sfx16 51g 50gs,intel core i5 11320h,geforce rtx 3050 ti,16.0,ddr4,512.0,ssd,yes,16.1,1920x1080,60.0,,59.0,,1.9,windows 11 home,12.0,14990000,36.78,23.61,1.89,2.0,1.0,1.0,0.0,1.0,intel core i5 11320h,3.20,4.50,4,8,,,,,35.00,10994,2954,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,37064,21707,41,14469,6299,124055,676,8492,2954,geforce rtx 3050 ti,10138.0,pcie 4.0 x8,4096.0,735.0,12,4.6,80.0,120.0,60.0,77.0,49.0,4329.0
383,gearvn,gigabyte,laptop gaming gigabyte g5 kf e3vn313sh,intel core i5 12500h,geforce rtx 4060,16.0,ddr4,512.0,ssd,yes,15.6,1920x1080,144.0,,54.0,,1.9,windows 11 home,,23290000,36.0,23.8,2.27,3.0,0.0,1.0,1.0,1.0,intel core i5 12500h,2.50,4.50,4,8,,3.30,8.0,8.0,45.00,21059,3462,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73135,53313,59,28526,15103,259369,1038,15320,3462,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
