laptop_specs_id,laptop_specs_source,laptop_specs_brand,cpu_specs_laptop_specs_laptop_specs_name,laptop_specs_cpu,laptop_specs_vga,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_resolution,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_laptop_specs_laptop_specs_name,cpu_specs_performance_clockspeed,cpu_specs_performance_turbospeed,cpu_specs_performance_cores,cpu_specs_performance_threads,cpu_specs_efficient_clockspeed,cpu_specs_efficient_turbospeed,cpu_specs_efficient_cores,cpu_specs_efficient_threads,cpu_specs_tdp,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_l1_instruction_cache,cpu_specs_l1_data_cache,cpu_specs_l2_cache,cpu_specs_l3_cache,cpu_specs_eff_l1_instruction_cache,cpu_specs_eff_l1_data_cache,cpu_specs_eff_l2_cache,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,cpu_specs_laptop_specs_laptop_specs_name,gpu_specs_avg_g3d_mark,gpu_specs_bus_interface,gpu_specs_max_memory_size,gpu_specs_core_clock,gpu_specs_max_direct,gpu_specs_open_gl,gpu_specs_max_tdp,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute
798,gearvn,acer,laptop acer swift x sfx16 51g 50gs,intel core i5 11320h,geforce rtx 3050 ti,16,ddr4,512,ssd,yes,16.1,1920x1080,60,,59,,1.9,windows 11 home,12,15990000,36.78,23.61,1.89,2,1,1,0,1,intel core i5 11320h,3.2,4.5,4,8,,,,,35,10983,2953,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,37050,21693,41,14446,6294,123961,675,8487,2953,geforce rtx 3050 ti,10143,pcie 4.0 x8,4096,735,12,4.6,80,120,60,77,49,4330
799,gearvn,gigabyte,laptop gaming gigabyte g5 kf e3vn313sh,intel core i5 12500h,geforce rtx 4060,16,ddr4,512,ssd,yes,15.6,1920x1080,144,,54,,1.9,windows 11 home,,23290000,36,23.8,2.27,3,0,1,1,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
800,gearvn,acer,laptop gaming acer nitro 5 an515 45 r6ev,amd ryzen 5 5600h,geforce gtx 1650,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,57.5,4,2.3,windows 11 home,12,13990000,36.34,25.5,2.39,0,1,1,0,0,amd ryzen 5 5600h,3.3,4.2,6,12,,,,,45,16961,2943,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,61039,33861,49,21719,13194,211434,729,14590,2943,geforce gtx 1650,6969,pcie 3.0 x16,4096,1395,12,4.6,50,116,36,50,27,2750
801,gearvn,acer,laptop acer aspire 3 a315 58 54m5,intel core i5 1135g7,,8,ddr4,512,ssd,yes,15.6,1920x1080,,,36.7,2,1.7,windows 11 home,12,9490000,36.3,23.84,1.99,2,0,1,0,1,intel core i5 1135g7,2.4,4.2,4,8,,,,,15,9734,2676,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,32465,19609,35,12802,5617,105917,594,7612,2676,,,,,,,,,,,,,
802,gearvn,asus,laptop asus vivobook 14 oled a1405va km095w,intel core i5 13500h,,16,ddr4,512,ssd,yes,14,2880x1800,90,600,50,3,1.6,windows 11 home,24,17390000,31.71,22.2,1.99,3,1,1,0,1,intel core i5 13500h,3.5,4.7,4,8,,,8,8,45,22701,3536,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,76906,55639,77,29549,15984,273500,1339,15980,3536,,,,,,,,,,,,,
803,gearvn,gigabyte,laptop gaming gigabyte g5 mf f2ph333sh,intel core i5 12450h,geforce rtx 4050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,54,4,1.9,windows 11 home,24,20990000,36,23.8,2.27,3,0,1,1,1,intel core i5 12450h,2,4.4,4,8,1.5,3.3,4,4,45,16999,3379,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,56563,42183,47,21668,11418,205799,920,12638,3379,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
804,gearvn,gigabyte,laptop gaming gigabyte g5 mf f2vn333sh,intel core i5 12450h,geforce rtx 4050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,54,4,1.9,windows 11 home,24,19990000,36,23.8,2.27,3,0,1,1,1,intel core i5 12450h,2,4.4,4,8,1.5,3.3,4,4,45,16999,3379,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,56563,42183,47,21668,11418,205799,920,12638,3379,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
805,gearvn,acer,laptop gaming acer nitro 5 an515 58 52sp,intel core i5 12500h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,57.5,4,2.5,windows 11 home,12,17990000,36.04,27.11,2.59,3,1,1,1,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 3050,9458,pcie 4.0 x8,4096,712,12_2,4.6,75,118,55,73,45,3865
806,gearvn,asus,laptop gaming asus tuf gaming a15 fa507nv lp046w,amd ryzen 7 7735hs,geforce rtx 4060,8,ddr5,512,ssd,yes,15.6,1920x1080,144,250,90,4,2.2,windows 11 home,24,27490000,35.4,25.1,2.49,2,2,1,1,0,amd ryzen 7 7735hs,3.2,4.8,8,16,,,,,54,23931,3350,8 x 32 kb,8 x 32 kb,8 x 512 kb,16 mb,,,,88291,49326,61,31240,18962,302686,1118,20701,3350,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
807,gearvn,gigabyte,laptop gaming gigabyte g5 mf e2vn333sh,intel core i5 12500h,geforce rtx 4050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,54,,1.9,windows 11 home,,21990000,36,23.8,2.27,3,0,1,1,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
808,gearvn,acer,laptop gaming acer aspire 7 a715 76g 5806,intel core i5 12450h,geforce rtx 3050,16,ddr4,512,ssd,yes,15.6,1920x1080,144,,50,3,2.1,windows 11 home,12,18390000,36.23,23.74,1.99,3,1,1,1,1,intel core i5 12450h,2,4.4,4,8,1.5,3.3,4,4,45,16999,3379,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,56563,42183,47,21668,11418,205799,920,12638,3379,geforce rtx 3050,9458,pcie 4.0 x8,4096,712,12_2,4.6,75,118,55,73,45,3865
809,gearvn,gigabyte,laptop gaming gigabyte g5 kf e3vn333sh,intel core i5 12500h,geforce rtx 4060,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,54,,1.9,windows 11 home,,23990000,36,23.8,2.27,3,0,1,1,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
810,gearvn,acer,laptop gaming acer nitro 5 tiger an515 58 5935,intel core i5 12450h,geforce rtx 4050,8,ddr5,512,ssd,yes,15.6,1920x1080,144,250,57.5,4,2.5,windows 11 home,12,22490000,36.04,27.11,2.59,3,1,1,1,1,intel core i5 12450h,2,4.4,4,8,1.5,3.3,4,4,45,16999,3379,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,56563,42183,47,21668,11418,205799,920,12638,3379,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
811,gearvn,dell,laptop dell inspiron 3530 n3530i716w1 silver,intel core i7 1355u,geforce mx550,16,ddr4,512,ssd,yes,15.6,1920x1080,120,,54,3,1.62,windows 11 home,12,22790000,35.85,23.56,1.9,1,1,1,0,0,intel core i7 1355u,1.7,5,2,4,1.2,3.7,8,8,15,14828,3504,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,54333,36303,56,18079,10171,160029,935,8891,3504,geforce mx550,4546,,,,,,,63,16,34,28,2220
812,gearvn,msi,laptop gaming msi katana 15 b13vfk 676vn,intel core i7 13620h,geforce rtx 4060,16,ddr5,1024,ssd,yes,15.6,1920x1080,144,,53.5,3,2.2,windows 11 home,24,27990000,35.9,25.9,2.49,3,1,1,0,0,intel core i7 13620h,2.4,4.9,6,12,1.8,3.6,4,4,45,24850,3689,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84451,62278,100,29800,16091,290251,1678,18001,3689,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
813,gearvn,acer,laptop gaming acer nitro 16 phoenix an16 41 r50z,amd ryzen 5 7640hs,geforce rtx 4050,8,ddr5,512,ssd,yes,16,1920x1200,165,400,90,4,2.7,windows 11 home,12,26990000,36.01,27.99,2.79,2,2,1,1,1,amd ryzen 5 7640hs,4.3,5,6,12,,,,,54,23006,3632,6 x 32 kb,6 x 32 kb,6 x 1024 kb,16 mb,,,,73805,45544,78,30126,15925,272254,1175,20780,3632,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
814,gearvn,msi,laptop gaming msi katana 15 b13vek 252vn,intel core i7 13620h,geforce rtx 4050,8,ddr5,512,ssd,yes,15.6,1920x1080,144,,53.5,3,2.25,windows 11 home,24,22990000,35.9,25.9,2.49,3,1,1,0,0,intel core i7 13620h,2.4,4.9,6,12,1.8,3.6,4,4,45,24850,3689,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84451,62278,100,29800,16091,290251,1678,18001,3689,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
815,gearvn,gigabyte,laptop gaming gigabyte g5 kf e3ph333sh,intel core i5 12500h,geforce rtx 4060,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,54,,1.9,windows 11 home,,22990000,36,23.8,2.27,3,0,1,1,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
816,gearvn,acer,laptop acer nitro 5 tiger an515 58 773y,intel core i7 12700h,geforce rtx 3050 ti,16,ddr4,512,ssd,yes,15.6,1920x1080,144,,57.5,4,2.5,windows 11 home,12,23490000,36.04,27.11,2.59,3,1,1,1,1,intel core i7 12700h,2.3,4.7,6,12,1.7,3.5,8,8,45,26121,3581,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,92015,66386,95,34092,17960,306814,1535,18222,3581,geforce rtx 3050 ti,10143,pcie 4.0 x8,4096,735,12,4.6,80,120,60,77,49,4330
817,gearvn,acer,laptop gaming acer predator helios neo phn16 71 54cd,intel core i5 13500hx,geforce rtx 4050,8,ddr5,512,ssd,yes,16,2560x1600,165,500,90,4,2.6,windows 11 home,12,24990000,36.01,27.99,2.83,3,2,1,1,1,intel core i5 13500hx,2.5,4.7,6,12,1.8,3.5,8,8,55,30425,3655,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,102900,76709,106,39942,21530,373311,1785,22531,3655,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
818,gearvn,lenovo,laptop lenovo yoga slim 6 14irh8 83e00008vn,intel core i7 13700h,,16,ddr5,512,ssd,yes,14,1920x1200,60,400,65,,1.35,windows 11 home,36,23990000,31.2,22.1,1.49,1,2,1,0,1,intel core i7 13700h,2.4,5,6,12,1.8,3.7,8,8,45,27094,3640,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,95371,68230,106,34298,18517,316731,1768,18821,3640,,,,,,,,,,,,,
819,gearvn,acer,laptop gaming acer nitro 16 phoenix an16 41 r60f,amd ryzen 7 7840hs,geforce rtx 4050,8,ddr5,512,ssd,yes,16,2560x1600,165,500,90,4,2.7,windows 11 home,12,24990000,36.01,27.99,2.79,2,2,1,1,1,amd ryzen 7 7840hs,3.8,5.1,8,16,,,,,54,28908,3785,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,100265,60846,89,39677,20946,350660,1389,26105,3785,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
820,gearvn,gigabyte,laptop gaming gigabyte aorus 15 xe4 73vnb14gh,intel core i7 12700h,,16,ddr4,1024,ssd,yes,15.6,2560x1440,165,,99,4,2.4,windows 11 home,24,35990000,36,24.4,2.7,2,1,1,0,0,intel core i7 12700h,2.3,4.7,6,12,1.7,3.5,8,8,45,26121,3581,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,92015,66386,95,34092,17960,306814,1535,18222,3581,,,,,,,,,,,,,
821,gearvn,gigabyte,laptop gaming gigabyte aorus 15 bkf 73vn754sh,intel core i7 13700h,geforce rtx 4060,16,ddr5,1024,ssd,yes,15.6,2560x1440,165,,99,,2.25,windows 11 home,24,37990000,36,27.2,2.09,3,2,1,1,1,intel core i7 13700h,2.4,5,6,12,1.8,3.7,8,8,45,27094,3640,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,95371,68230,106,34298,18517,316731,1768,18821,3640,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
822,gearvn,gigabyte,laptop gaming gigabyte g6 kf h3vn853sh,intel core i7 13620h,geforce rtx 4060,16,ddr5,512,ssd,yes,16,1920x1200,165,,54,4,2.3,windows 11 home,24,27490000,35.95,26.38,2.6,3,0,1,1,1,intel core i7 13620h,2.4,4.9,6,12,1.8,3.6,4,4,45,24850,3689,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84451,62278,100,29800,16091,290251,1678,18001,3689,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
823,gearvn,acer,laptop gaming acer nitro v anv15 51 55ca,intel core i5 13420h,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,,57,4,2.1,windows 11 home,12,24990000,36.23,23.99,2.69,3,1,1,1,1,intel core i5 13420h,2.1,4.6,4,8,1.5,3.4,4,4,45,18351,3454,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,60332,44607,54,22863,12242,223438,1061,13756,3454,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
824,gearvn,lenovo,laptop lenovo ideapad 3 15itl6 82h803rsvn,intel core i5 1155g7,,8,ddr4,256,ssd,yes,15.6,1920x1080,,300,45,,1.65,windows 11 home,24,13490000,35.92,23.65,1.99,1,1,1,0,1,intel core i5 1155g7,2.5,4.5,4,8,,,,,28,10090,2907,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,35756,20845,40,12797,5647,109483,608,7477,2907,,,,,,,,,,,,,
825,gearvn,acer,laptop gaming acer nitro 5 tiger an515 58 5193,intel core i5 12450h,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,250,57.5,4,2.5,windows 11 home,,26490000,36.04,27.11,2.59,3,1,1,1,1,intel core i5 12450h,2,4.4,4,8,1.5,3.3,4,4,45,16999,3379,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,56563,42183,47,21668,11418,205799,920,12638,3379,geforce rtx 4050,14428,pcie 4.0 x16,6144,1605,12_2,4.6,115,186,81,131,61,5939
826,gearvn,acer,laptop gaming acer aspire 7 a715 76g 73fm,intel core i7 12650h,geforce rtx 2050,16,ddr4,512,ssd,yes,15.6,1920x1080,144,,50,3,2.1,windows 11 home,,23790000,36.23,23.74,1.99,3,1,1,1,1,intel core i7 12650h,2.3,4.7,6,12,1.7,3.5,4,4,45,22516,3583,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,75219,56246,94,27112,14422,256836,1470,15885,3583,geforce rtx 2050,7671,pcie 3.0 x8,4096,1185,12_2,4.6,45,105,39,48,41,3467
827,gearvn,acer,laptop acer aspire 5 a514 56p 55k5,intel core i5 1335u,,16,ddr5,512,ssd,yes,14,1920x1200,60,,48,3,1.5,windows 11 home,,14990000,36.29,23.75,1.8,2,0,1,0,1,intel core i5 1335u,1.3,4.6,2,4,0.9,3.4,8,8,15,14730,3414,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,53033,36302,52,18312,10329,164232,861,9177,3414,,,,,,,,,,,,,
828,gearvn,gigabyte,laptop gigabyte aero 14 oled 9mf e2vnbb4sh,intel core i5 12500h,,16,ddr5,1024,ssd,yes,14,2880x1800,90,,63,,1.49,windows 11 home,24,33990000,31.1,22.08,1.7,1,2,1,0,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,,,,,,,,,,,,,
829,gearvn,acer,laptop gaming acer nitro 16 phoenix an16 41 r76e,amd ryzen 9 7940hs,geforce rtx 4060,16,ddr5,512,ssd,yes,16,2560x1600,165,500,90,4,2.7,windows 11 home,12,29790000,36.01,27.99,2.79,2,2,1,1,1,amd ryzen 9 7940hs,4,5.2,8,16,,,,,54,30396,3905,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,104317,63753,92,41892,22125,371623,1465,27932,3905,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
830,gearvn,acer,laptop gaming acer nitro 16 phoenix an16 41 r3sm,amd ryzen 7 7840hs,geforce rtx 4060,16,ddr5,512,ssd,yes,16,2560x1600,165,500,90,4,2.7,windows 11 home,12,28990000,36.01,27.99,2.79,2,2,1,1,1,amd ryzen 7 7840hs,3.8,5.1,8,16,,,,,54,28908,3785,8 x 32 kb,8 x 32 kb,8 x 1024 kb,16 mb,,,,100265,60846,89,39677,20946,350660,1389,26105,3785,geforce rtx 4060,17662,pcie 4.0 x16,8192,1470,12_2,4.6,115,218,110,159,73,6828
831,gearvn,lenovo,laptop lenovo ideapad slim 5 16iah8 83bg001xvn,intel core i5 12450h,,16,ddr5,512,ssd,yes,16,1920x1200,,300,56.6,,1.89,windows 11 home,36,16990000,35.6,25.1,1.79,2,2,1,0,1,intel core i5 12450h,2,4.4,4,8,1.5,3.3,4,4,45,16999,3379,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,56563,42183,47,21668,11418,205799,920,12638,3379,,,,,,,,,,,,,
832,gearvn,asus,laptop gaming asus tuf gaming f15 fx507zc4 hn095w,intel core i5 12500h,geforce rtx 3050,16,ddr4,512,ssd,yes,15.6,1920x1080,144,250,56,4,2.2,windows 11 home,24,20490000,35.4,25.1,2.49,2,2,1,1,0,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 3050,9458,pcie 4.0 x8,4096,712,12_2,4.6,75,118,55,73,45,3865
833,gearvn,gigabyte,laptop gaming gigabyte g5 gd 51vn123so,intel core i5 11400h,geforce rtx 3050,16,ddr4,512,ssd,yes,15.6,1920x1080,144,,48.96,,2.2,windows 11 home,,17990000,36.1,25.8,2.49,3,1,1,0,0,intel core i5 11400h,2.7,4.5,6,12,,,,,45,15611,2998,6 x 32 kb,6 x 48 kb,6 x 1280 kb,12 mb,,,,53960,32477,48,22710,9568,195710,680,13350,2998,geforce rtx 3050,9458,pcie 4.0 x8,4096,712,12_2,4.6,75,118,55,73,45,3865
834,cellphones,lenovo,laptop lenovo loq 15iax9 83gs001rvn,intel core i5 12450hx,geforce rtx 3050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60,,2.38,windows 11 home,24,20990000,35.99,25.87,2.39,3,1,1,1,1,intel core i5 12450hx,,4.4,4,8,,3.1,4,4,148,18668,3397,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,57737,43531,58,23245,12258,222404,1183,13985,3397,geforce rtx 3050,9458,pcie 4.0 x8,4096,712,12_2,4.6,75,118,55,73,45,3865
835,cellphones,lenovo,laptop lenovo loq 15iax9 83gs001svn,intel core i5 12450hx,geforce rtx 2050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60,3,2.38,windows 11 home,24,18990000,35.99,25.87,2.39,3,1,1,1,0,intel core i5 12450hx,,4.4,4,8,,3.1,4,4,148,18668,3397,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,57737,43531,58,23245,12258,222404,1183,13985,3397,geforce rtx 2050,7671,pcie 3.0 x8,4096,1185,12_2,4.6,45,105,39,48,41,3467
836,cellphones,acer,laptop gaming acer nitro 5 tiger an515 58 52sp,intel core i5 12500h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,,57.5,4,2.5,windows 11 home,12,17990000,36.04,27.11,2.59,3,1,1,1,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 3050,9458,pcie 4.0 x8,4096,712,12_2,4.6,75,118,55,73,45,3865
837,cellphones,asus,laptop asus tuf gaming f15 fx507zc4-hn074w,intel core i5 12500h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,250,56,4,2.2,windows 11 home,24,18990000,35.4,25.1,2.49,2,2,1,0,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 3050,9458,pcie 4.0 x8,4096,712,12_2,4.6,75,118,55,73,45,3865
838,cellphones,asus,laptop asus vivobook 14 oled a1405za-km263w,intel core i7 12700h,,16,ddr4,512,ssd,yes,14,2880x1800,90,600,50,3,1.6,windows 11 home,24,17990000,31.71,22.2,1.99,3,1,1,0,1,intel core i7 12700h,2.3,4.7,6,12,1.7,3.5,8,8,45,26121,3581,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,92015,66386,95,34092,17960,306814,1535,18222,3581,,,,,,,,,,,,,
839,cellphones,apple,macbook pro 14 m3 8gb - 512gb | chính hãng apple việt nam,apple m3 8 core,,8,,512,,yes,14.2,3024x1964,120,,70,,1.55,macos,12,35990000,31.26,22.12,1.55,0,0,1,0,1,apple m3 8 core,4,,4,4,,,4,4,20,19219,4752,,,,,,,,42024,48660,236,27669,11548,229079,1878,10038,4752,,,,,,,,,,,,,
840,cellphones,asus,laptop asus gaming vivobook k3605zf-rp634w,intel core i5 12500h,geforce rtx 2050,16,ddr4,512,ssd,yes,16,1920x1200,144,300,50,3,1.8,windows 11 home,24,17390000,35.86,24.91,1.89,2,1,1,0,1,intel core i5 12500h,2.5,4.5,4,8,,3.3,8,8,45,21074,3464,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73157,53328,59,28524,15110,259447,1040,15329,3464,geforce rtx 2050,7671,pcie 3.0 x8,4096,1185,12_2,4.6,45,105,39,48,41,3467
841,cellphones,asus,laptop asus vivobook go 14 e1404fa-nk177w,amd ryzen 5 7520u,,16,ddr5,512,ssd,yes,14,1920x1080,60,250,42,3,1.3,windows 11 home,24,12390000,32.45,21.39,1.79,2,1,1,0,0,amd ryzen 5 7520u,2.8,4.3,4,8,,,,,15,9188,2464,4 x 32 kb,4 x 32 kb,4 x 512 kb,4 mb,,,,31393,15027,20,14472,6566,137872,445,6263,2464,,,,,,,,,,,,,
842,cellphones,asus,laptop asus zenbook 14 oled ux3405ma-pp151w,intel core ultra 5 125h,,16,ddr5,512,ssd,yes,14,2880x1800,120,600,75,4,1.2,windows 11 home,24,26390000,31.24,22.01,1.49,1,2,1,0,0,intel core ultra 5 125h,3.3,4.5,4,8,2.3,3.6,10,10,28,22301,3501,4 x 64 kb,4 x 48 kb,7 x 2048 kb,18 mb,10 x 64 kb,10 x 32 kb,,72517,53887,90,29005,15271,253186,1541,14647,3501,,,,,,,,,,,,,
